Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,ReleaseYear
La sociedad de la nieve,J.A. Bayona,"Enzo Vogrincic, Agustín Pardella, Matías Recalt",7.9,"Adventure, Biography, Drama",144min,R,2023
Volver,Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas",7.6,"Comedy, Drama",121min,R,2006
Mar adentro,Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas",8.0,"Biography, Drama",126min,PG-13,2004
Los otros,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",7.6,"Horror, Mystery, Thriller",104min,PG-13,2001
Celda 211,Daniel Monzón,"Luis Tosar, Alberto Ammann, Antonio Resines",7.6,"Action, Crime, Drama",113min,R,2009
El secreto de sus ojos,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago",8.2,"Drama, Mystery, Thriller",129min,R,2009
Relatos salvajes,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa",8.1,"Comedy, Drama, Thriller",122min,R,2014
