Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,ReleaseYear
Oppenheimer,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",8.4,"Biography, Drama, History",180min,R,2023
Barbie,Greta Gerwig,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",7.0,"Adventure, Comedy, Fantasy",114min,PG-13,2023
Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, Kemp Powers","Shameik Moore, Hailee Steinfeld, Oscar Isaac",8.7,"Animation, Action, Adventure",140min,PG,2023
John Wick: Chapter 4,Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou",7.7,"Action, Crime, Thriller",169min,R,2023
Guardians of the Galaxy Vol. 3,James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper",7.9,"Action, Adventure, Comedy",150min,PG-13,2023
The Super Mario Bros. Movie,"Aaron Horvath, Michael Jelenic","Chris Pratt, Anya Taylor-Joy, Charlie Day",7.1,"Animation, Adventure, Comedy",92min,PG,2023
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames",7.8,"Action, Adventure, Thriller",163min,PG-13,2023
