Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,ReleaseYear
The Iron Giant,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston",8.1,"Animation, Action, Adventure",86min,PG,1999
My Neighbor Totoro,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto",8.1,"Animation, Family, Fantasy",86min,G,1988
The Nightmare Before Christmas,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara",7.9,"Animation, Family, Fantasy",76min,PG,1993
Shrek,Andrew Adamson,"Mike Myers, Eddie Murphy, Cameron Diaz",7.9,"Animation, Adventure, Comedy",90min,PG,2001
Akira,Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",8.0,"Animation, Action, Drama",124min,R,1988
Perfect Blue,Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji",8.0,"Animation, Crime, Drama",81min,R,1997
